"","StatID","Label","Regex"
"181","MDA","Moldavia","moldov|b(a|e)ssarabia"
"182","MDG","Madagascar","madagascar|malagasy"
"183","MDK","Mandinka Empire (Wassulu)","mandinka empire (wassulu)"
"184","MDV","Maldives","maldive"
"185","MEC","Mecklenburg Schwerin","mecklenbur.*schwerin"
"186","MEX","Mexico","\bmexic"
"187","MHL","Marshall Islands","marshall"
"188","MIN","Minangkabau","minangkabau"
"189","MKD","The former Yugoslav Republic of Macedonia","macedonia|fyrom"
"190","MLI","Mali","\bmali\b"
"191","MLT","Malta","\bmalta"
"192","MMR","Myanmar","myanmar|burma"
"193","MNE","Montenegro","(?!.*serbia).*montenegro"
"194","MNG","Mongolia","mongol"
"195","MOD","Modena","modena"
"196","MOS","Yatenga (Mossi)","yatenga (mossi)"
"197","MOZ","Mozambique","mozambique"
"198","MPR","Manipur","manipur"
"199","MRT","Mauritania","mauritania"
"200","MUS","Mauritius","mauritius"
"201","MWI","Malawi","malawi|nyasa"
"202","MYS","Malaysia","malaysia"
"203","NAG","Nagpur","nagpur"
"204","NAM","Namibia","namibia"
"205","NAS","Nassau","nassau"
"206","NER","Niger","\bniger(?!ia)"
"207","NGA","Nigeria","nigeria"
"208","NIC","Nicaragua","nicaragua"
"209","NIU","Niue","niue"
"210","NLD","Netherlands","(?!.*\bant)(?!.*\bcarib).*netherlands|netherlands.antil|dutch.antil"
"211","NOR","Norway","norway|norweg"
"212","NPL","Nepal","nepal"
"213","NRU","Nauru","nauru"
"214","NZL","New Zealand","new.?zealand"
"215","OFS","Orange Free State","orange free state|\sovs\s"
"216","OLD","Oldenburg","oldenburg"
"217","OMN","Oman","\boman|trucial"
"218","OVB","Ovimbundu","ovimbundu"
"219","OYO","Oyo","oyo"
"220","PAH","Pahang","pahang"
"221","PAK","Pakistan","(?!.*east).*paki?stan"
"222","PAL","Palembang","palembang"
"223","PAN","Panama","panama"
"224","PER","Peru","peru"
"225","PES","Peshwa","peshwa"
