COWNum,COWID,StateName,OtherName,ISD_Category,Region,Start,Start_Am,EStart,EStart_Am,Declare,DecDate,Population,PopDate,PopAm,PopulationHigh,PopulationLow,StartType,StartType_Am,StartSettle,End,End_Am,EndType,EndType_Am,EndSettle,Sovereignty_Am,EuroDip,Borders,Borders_Am,Latitude,Longitude,Capital,VioStart,VioStart_Am,VioEnd,VioEnd_Am,DestinationA,DestinationB,DestinationC,DestinationD,DestinationE,DestinationF,DestinationG,DestinationH,DestinationI,DestinationJ,DestinationK,DestinationL,DestinationM,DestinationN,DestinationO,DestinationP,DestinationQ,DestinationR,DestinationS,DestinationT,DestinationU
4908,AZA,Azanda,"Zande Kingdom, Bakuba, Bushongo",2,1,1816-01-01,0,1750,1,0,-9,1200000,1895,0,2000000,750000,1,1,0,1896-01-17,1,1,0,0,0,1,0,1,5 36 45.2 N,28 19 45.3 E,,1,0,1,0,490,625,482,626,,,,,,,,,,,,,,,,,
373,AZE,Azerbaijan,-9,1,2,1991-12-26,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
267,BAD,Baden,-9,1,5,1816-01-01,0,1815,1,-9,-9,1005899,1816,0,-9,-9,2,0,1,1871-01-18,1,3,1,1,0,1,-9,1,49 0 33.16 N,8 24 14.23 E,Karlsruhe,0,1,0,0,255,260,,,,,,,,,,,,,,,,,,,
8563,BDG,Badung,Bandanapura Badong,3,3,1816-01-01,0,1704,0,-9,-9,100000,1837,0,-9,-9,3,0,-9,1906-12-31,0,1,0,0,1,1,0,1,8 36 10 S,115 10 43 E,,0,1,0,1,850,,,,,,,,,,,,,,,,,,,,
4831,BGI,Bagirmi,Baguirmi,3,1,1816-01-01,0,1522,1,0,-9,100000,1903,0,-9,15000,1,0,0,1897-12-31,0,1,0,1,1,1,0,1,11 24 0 N,16 10 0 E,Massenya,1,0,1,0,483,,,,,,,,,,,,,,,,,,,,
31,BHM,Bahamas,-9,1,4,1973-07-10,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
7694,BPR,Bahawalpur,"Bahawulpoor, Chudhary",1,2,1816-01-01,0,1739,1,0,-9,650042,1891,0,-9,573494,2,1,1,1838-10-22,0,1,0,1,0,1,0,1,29 23 44 N,71 41 1 E,Bahawalpur,1,1,1,1,770,,,,,,,,,,,,,,,,,,,,
692,BAH,Bahrain,-9,1,6,1971-08-15,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
4711,BMN,Bamum,"Bamoun, Kingdom of Bamun, Bamum",,1,1816-01-01,0,1390,1,0,-9,10000,1900,1,-9,-9,1,0,0,1884-12-31,1,1,0,-9,0,0,0,0,5 43 0 N,10 55 0 E,Foumban,1,0,0,0,471,,,,,,,,,,,,,,,,,,,,
771,BNG,Bangladesh,-9,1,2,1972-12-16,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
8573,BPR,Bangli,Tanah Bali,3,3,1837-01-01,1,-9,-9,-9,-9,30000,1856,1,-9,-9,3,0,-9,1909-12-31,0,1,0,1,0,-9,0,0,8 26 30.58 S,115 21 35.65 E,,1,1,0,0,850,,,,,,,,,,,,,,,,,,,,
53,BAR,Barbados,-9,1,4,1966-11-30,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
245,BAV,Bavaria,Bayern,1,5,1816-01-01,0,1815,1,-9,-9,13560000,1816,0,-9,-9,2,1,1,1871-01-18,1,3,1,1,0,1,-9,1,48 8 0 N,11 34 0 E,Munich,0,1,0,1,255,260,,,,,,,,,,,,,,,,,,,
5301,BGM,Begemder,Bagemder,2,1,1816-01-01,0,1775,1,0,-9,-9,-9,0,-9,-9,2,0,0,1855-12-31,1,2,0,0,1,1,1,1,11 51 00 N,38 01 00 E,Dabra Tabor,-9,-9,1,0,530,,,,,,,,,,,,,,,,,,,,
370,BLR,Belarus,-9,1,5,1991-12-26,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
211,BEL,Belgium,-9,1,5,1830-12-20,0,-9,-9,1,04-10-1830,3786000,1831,0,-9,-9,2,0,1,1940-05-28,0,2,0,0,0,1,1,1,50 51 0 N,4 21 0 E,Brussels,1,0,1,0,211,,,,,,,,,,,,,,,,,,,,
211,BEL,Belgium,-9,1,5,1945-06-26,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
80,BLZ,Belize,-9,1,3,1981-09-21,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
434,BEN,Benin,-9,1,1,1960-08-01,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
4776,BNE,Benin Empire,Benin Kingdom,3,1,1816-01-01,0,1473,1,0,-9,1500000,1834,0,-9,1500000,1,0,0,1897-02-17,0,1,0,0,0,1,0,0,6 20 05.8 N,5 37 03.9 E,Edo,1,0,1,0,475,,,,,,,,,,,,,,,,,,,,
8543,BNJ,Benjermassin,Banjarmasin Banjar,1,3,1816-01-01,0,1661,1,0,-9,120000,1846,0,120000,40000,2,0,0,1860-12-31,0,1,0,0,1,1,0,1,3 32 0 S,114 38 0 E,,0,1,1,0,850,,,,,,,,,,,,,,,,,,,,
7589,BHT,Bharatpur,"Lohagarh, Mewat",2,2,1816-01-01,0,1772,0,0,-9,645540,1881,0,645540,626665,2,1,1,1826-12-31,0,1,0,0,1,1,0,1,27 13 12 N,77 28 48 E,Bharatpur,1,1,1,0,750,,,,,,,,,,,,,,,,,,,,
7533,BHP,Bhopal,"Bopaul, Bhopaul",1,2,1816-01-01,0,1723,1,0,-9,663656,1875,0,952486,663656,2,0,0,1817-12-23,0,1,0,1,1,1,0,1,23 15 0 N,77 25 0 E,Bhopal,1,1,0,1,750,,,,,,,,,,,,,,,,,,,,
760,BHU,Bhutan,"Bootan, Boutan",1,2,1816-01-01,0,1651,1,0,-9,468750,1795,0,930614,468750,1,1,0,1910-12-31,1,1,0,1,1,1,1,1,27 28 20 N,89 38 10 E,Thimpu,1,0,0,0,760,,,,,,,,,,,,,,,,,,,,
760,BHU,Bhutan,-9,1,2,1971-09-21,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
7511,BIK,Bikaner,"Bicanere, Bikanir",1,2,1816-01-01,0,1709,1,0,-9,539000,1875,0,539000,509021,2,1,0,1818-03-09,0,1,0,1,1,1,0,1,28 1 0 N,73 18 43 E,Bikaner,1,1,1,0,750,,,,,,,,,,,,,,,,,,,,
8402,BOH,Bohol,-9,3,3,1816-01-01,0,1200,1,0,-9,253103,1879,0,253103,-9,-9,1,0,1829-08-31,1,1,0,0,1,1,0,1,9 54 0 N,124 12 0 E,,-9,1,1,0,840,,,,,,,,,,,,,,,,,,,,
145,BOL,Bolivia,-9,1,4,1825-08-06,1,-9,-9,1,06-08-1825,1107000,1825,0,1107000,-9,2,0,-9,1836-10-27,1,3,1,-9,0,1,-9,1,16 30 0 S,68 9 0 W,La Paz,-9,1,0,1,145,,,,,,,,,,,,,,,,,,,,
145,BOL,Bolivia,0,1,4,1839-01-20,1,-9,-9,0,-9,1'374'000,1850,0,-9,-9,3,0,0,2016-12-31,0,-9,-9,-9,0,1,1,0,16 30 0 S,68 9 0 W,La Paz,1,0,-9,-9,145,,,,,,,,,,,,,,,,,,,,
8552,BON,Bone,-9,3,3,1816-01-01,0,1300,1,0,-9,10000,1961,1,5076000,-9,2,0,0,1905-12-31,0,1,1,0,0,1,-9,1,4 32 19 S,120 19 47 E,Boni (Watampone),-9,1,1,0,850,,,,,,,,,,,,,,,,,,,,
4798,BRG,Borgu,Borgu Kingdom,3,1,1816-01-01,0,1790,0,0,-9,40000,1905,0,40000,27969,1,0,0,1898-12-31,0,1,0,1,0,1,0,0,9 53 0 N,4 31 0 E,New Bussa,1,0,0,1,434,475,,,,,,,,,,,,,,,,,,,
346,BOS,Bosnia and Herzegovina,-9,1,5,1992-04-07,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
571,BOT,Botswana,-9,1,1,1966-09-30,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
4352,BRK,Brakna,-9,3,1,1816-01-01,1,1700,0,0,-9,615000,1848,0,-9,-9,1,1,0,1905-12-31,0,1,0,1,0,1,0,1,17 3 0 N,13 55 0 W,,1,0,0,0,435,,,,,,,,,,,,,,,,,,,,
140,BRA,Brazil,0,1,4,1822-09-07,0,-9,-9,1,07-09-1822,4'507'000,1820,0,-9,-9,5,0,1,2016-12-31,0,-9,-9,-9,0,1,1,0,15 47 0 S,47 52 0 W,Brasilia,0,0,-9,-9,140,,,,,,,,,,,,,,,,,,,,
246,BRE,Bremen,-9,2,5,1816-01-01,0,1815,1,1,01-01-1816,37000,1816,0,104006,37000,2,1,1,1866-08-18,1,3,0,1,0,1,1,1,53 4 33 N,8 48 27 E,Bremen,0,0,0,0,255,260,,,,,,,,,,,,,,,,,,,
835,BRU,Brunei,-9,1,3,1816-01-01,0,1450,1,0,-9,10000,1930,1,10000,-9,1,1,0,1888-09-17,0,1,1,0,0,1,0,0,4 53 25 N,114 56 32 E,Bandar Seri Begawan,-9,1,0,0,835,,,,,,,,,,,,,,,,,,,,
835,BRU,Brunei,-9,1,3,1984-01-01,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
244,BRU,Brunswick,-9,3,5,1816-01-01,0,1815,0,0,-9,225273,1816,0,245783,209600,2,0,1,1866-08-18,1,3,0,1,0,1,1,0,52 16 0 N,10 31 0 E,Braunschweig,1,1,0,0,255,260,,,,,,,,,,,,,,,,,,,
5001,BUG,Buganda,Ganda Kingdom,2,1,1816-01-01,0,1700,1,-9,-9,750000,1875,0,1000000,-9,1,0,-9,1893-03-29,0,1,0,1,0,1,0,1,0 19 23.0 N,32 34 56.5 E,Mengo,1,1,1,1,500,,,,,,,,,,,,,,,,,,,,
7020,BUK,Bukhara,"Bokhara, Khanate of Bokhara, Samarkand",1,2,1816-01-01,0,1511,0,0,-9,2000000,1885,0,3000000,2000000,2,1,0,1868-06-18,1,2,0,1,0,1,0,1,39 46 0 N,64 26 0 E,Bukhara,1,1,1,0,704,365,702,701,,,,,,,,,,,,,,,,,
