State,Name,COWsys,GWsys,Indep,Viol,Type,From,IndepTC,ViolTC,TypeTC,FromTC,IndepP2,ViolP2,TypeP2,Notes
380,Sweden,18160101,18160101,152306,1,4,-9,181601,-9,0,-9,1800,-9,0,
385,Norway,19050607,19050826,190506,0,3,380,190510,0,3,380,1814,1,4,COW system interrupted 1940-45 (Ger occup)
390,Denmark,18160101,18160101,98000,0,1,-9,181601,-9,0,-9,1800,0,0,COW system interrupted 1940-45 (Ger occup)
395,Iceland,19440517,19440617,194406,0,3,390,194407,0,3,390,1918,1,2,
402,Cape Verde,19750705,19750705,197507,0,2,235,197507,0,-9,235,-9,-9,-9,
403,Sao Tome and Principe,19750712,-9,197507,0,2,235,197507,0,-9,235,-9,-9,-9,
404,Guinea-Bissau,19740910,19740910,197409,0,2,235,197409,0,-9,235,-9,-9,-9,
411,Equatorial Guinea,19681012,19601012,196810,0,2,230,196810,0,-9,230,-9,-9,-9,
420,Gambia,19650218,19650218,196502,0,2,200,196502,0,-9,200,-9,-9,-9,
432,Mali,19600620,19600922,196009,0,2,220,196006,-9,0,-9,1960,0,2,
433,Senegal,19600820,19600404,196008,0,2,432,196008,0,3,432,1960,0,2,
434,Benin,19600801,19600801,196008,0,2,220,196008,0,-9,220,1960,0,2,
435,Mauritania,19601128,19601128,196011,0,2,220,196011,0,-9,220,1961,0,2,
436,Niger,19601003,19600803,196008,0,2,220,196008,0,-9,220,1959,0,2
437,Ivory Coast,19600807,19600807,196008,0,2,220,196008,0,-9,220,1960,0,2
438,Guinea,19581002,19581002,195810,0,2,220,195810,0,-9,220,1958,0,2
439,Burkina Faso,19600805,19600805,196008,0,2,220,196008,0,-9,220,1960,0,2
450,Liberia,19200630,18470726,184707,0,1,-9,192006,-9,0,-9,1847,0,-9
451,Sierra Leone,19610427,19610427,196104,0,2,200,196104,0,-9,200,1961,0,2
452,Ghana,19570316,19570306,195703,0,2,200,195703,0,-9,200,1960,1,2
461,Togo,19600427,19600427,196004,0,2,220,196004,0,-9,220,1961,0,2
471,Cameroon,19600101,19600101,196001,1,2,220,196001,0,-9,220,1961,1,2
475,Nigeria,19601001,19601001,196010,0,2,200,196010,0,-9,200,1960,0,2
481,Gabon,19600817,19600817,196008,0,2,220,196008,0,-9,220,1961,0,2
482,Central African Republic,19600813,19600813,196010,0,2,220,196008,0,-9,220,1962,0,2
483,Chad,19600811,19600811,196008,0,2,220,196008,0,-9,220,1962,0,2
484,Congo,19600815,19600815,196008,0,2,220,196008,0,-9,220,1961,0,2
490,Dem. Rep. Congo,19600630,19600630,196006,1,2,211,196006,0,-9,211,1963,1,2
500,Uganda,19621009,19621009,196210,0,2,200,196210,0,-9,200,1962,0,2
501,Kenya,19631212,19631212,196312,1,2,200,196312,0,-9,200,1965,1,2,
510,Tanzania,19611209,19611209,196112,0,2,200,196112,0,-9,200,1963,0,2,
511,Zanzibar,19631219,19631219,196312,0,2,200,196312,0,-9,200,-9,-9,-9,
516,Burundi,19620701,19620701,196207,0,2,211,196207,0,-9,211,1961,0,2,
517,Rwanda,19620701,19620107,196207,1,2,211,196207,0,-9,211,1962,1,2,
520,Somalia,19600701,19600701,196007,0,2,325,196007,0,-9,325,1960,0,2,
522,Djibouti,19770627,19770627,197706,0,2,220,197706,0,-9,220,-9,-9,-9,
