StatID,Capital,Lat,Lon
AZE,Baku,40.37767,49.89201
KAZ,Astana,51.1801,71.44598
KGZ,Bishkek,42.87,74.59
TJK,Dushanbe,38.53575,68.77905
TKM,Ashgabat,37.95,58.38333
UZB,Tashkent,41.26465,69.21627
BIH,Sarajevo,43.84864,18.35644
CZE,Prague,50.08804,14.42076
SVK,Bratislava,48.14816,17.10674
ERI,Asmara,15.33805,38.93184
PLW,Ngerulmud,7.50077,134.6238
TLS,Dili,-8.55861,125.57361
FRO,Torshavn,62.00973,-6.77164
MNE,Podgorica,42.44111,19.26361
KOS,Kosovo,42.58333,21
ABK,Sukhumi,43.00697,40.9893
SOT,Tskhinvali,42.22764,43.96861
SSD,Juba,4.85165,31.58247
