"","StatID","Label","Regex"
"305","USA","United States of America","united states of america|united states(?!.*of brazil)|u[[:punct:]]s[[:punct:]]a[[:punct:]]|u[[:punct:]]s[[:punct:]](?!.*s[[:punct:]]r[[:punct:]])|^usa\s|\susa\s|\susa$|^usa$|^us\s|\sus\s|\sus$|^us$|etats-unis"
"306","UZB","Uzbekistan","uzbek|ouzbekistan"
"307","VAT","Holy See","holy.?see|vatican|papal.?st|etat de la cite du vatican"
"308","VCT","St. Vincent and the Grenadines","vincent|saint-vincent-et-les-grenadines"
"309","VEN","Bolivarian Republic of Venezuela","venezuela"
"310","VNM","Viet Nam","(?<=socialist|democratic|north).*viet.?nam|viet.?nam socialist|viet.?nam democratic|^viet.?nam$|viet.?nam.?dem|dem.?rep.?viet.?nam"
"311","VUT","Vanuatu","vanuatu|new.?hebrides|vanuatu"
"312","WAD","Wadai","wadai"
"313","WRT","Wuerttemburg","w(ue|ü)rttemburg|w.rtemberg"
"314","WSM","Samoa","(?!.*amer).*samoa|samoa"
"315","YEK","Yeke Kingdom","yeke kingdom"
"316","YEM","Yemen","(?<= arab|north|sana).*yemen|yemen(?= arab)|^yemen$"
"317","YPR","Yemen People’s Republic","(?=.*peo).*yemen|(?!.*rep)(?=.*dem).*yemen|(?=.*south).*yemen|(?=.*aden).*yemen|(?=.*\bp\.?d\.?r).*yemen"
"318","YUG","Yugoslavia","yugoslavia"
"319","ZAF","South Africa","south.africa|s\. africa|afrique du sud"
"320","ZIN","Zinder (Damagaram)","zinder (damagaram)"
"321","ZMB","Zambia","zambia|northern.?rhodesia|zambie"
"322","ZUL","Zululand","zululand"
"323","ZWE","Zimbabwe","zimbabwe|(?<!northern )rhodesia|zimbabwe"
"324","EC","European Community","european economic community|european community|e[[:punct:]]c[[:punct:]]|^eec$|^ec$"
"325","AU","African Union","african union"
"326","PPR","Polish Peoples Republic","polish peoples republic"
"327","ALG","Algeria","(?<!ottoman )algeria"
"328","HKG","Hong Kong","Hong Kong|r.a.s. chinoise de hong kong"
"329","SAR","Sardinia","sardinia|Sardinia"
"330","EFTA","European Free Trade Association","^efta$|european free trade association"
"331","ESH","Western Sahara","western sahara|sahrawi|sahara occidental"
