Id,CoW,Label,Capital,Start,End,Notes,UN,FAO,EC.EU,Latitude,Longitude,Area,Region,Land.Area.Sqkm,EEZ,CoastLine,FishConsump2007,ThreatSpecies.2010,MPA2010,CoastalPop,Pop.Density,PopDensLog,MPA.EEZ,MPA.INV,EEZ.TRAWL,MSI.ECOL,BIRD.PROT,MAM.PROT,LV.GDP,MEAL.MAR,CODE.FAO,STAT.REP,SUB.GOOD,CATCH.FUEL,SUB.LV,MSI.SOC
TCD,483,Chad,N’Djamena,1960-08-11,9999-12-31,,1960-09-20,1961-11-09,,15.454166,18.732206,AFRICA,Middle Africa,1284000,0,0,62189.81,1,0,0,7.9,0.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF,482,Central African Republic,Bangui,1960-08-13,9999-12-31,,1960-09-20,1961-11-09,,6.611111,20.939444,AFRICA,Middle Africa,622984,0,0,15270.14,3,0,0,7.1,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COG,484,Congo,Brazzaville,1960-08-15,9999-12-31,,1960-09-20,1961-11-09,,-0.228021,15.827659,AFRICA,Middle Africa,342000,31017,205,,45,32.8150432535091,24.5,11.4,1.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,352,Cyprus,Nicosia,1960-08-16,9999-12-31,,1960-09-20,1960-09-14,2004-05-01,35.12641,33.42986,ASIA,Western Asia,9250,98707,671,19291.83,17,0.558759510969502,100,85.7,1.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,481,Gabon,Libreville,1960-08-17,9999-12-31,,1960-09-20,1961-11-09,,-0.803689,11.609444,AFRICA,Middle Africa,267667,202790,2019,49567.58,59,7.28382153092141,62.8,5.6,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEN,433,Senegal,Dakar,1960-08-20,9999-12-31,From independence from Mali Federation,1960-09-28,1961-11-09,,14.497401,-14.452362,AFRICA,Western Africa,196190,158861,1327,288491.12,41,12.4340137296508,83.2,65.5,1.823,0,0,5,6.6,3.7,6.3,7,10,2.6,46.8,1,4,8,5.3
NGA,475,Nigeria,Abuja,1960-10-01,9999-12-31,,1960-10-07,1960-10-11,,9.081999,8.675277,AFRICA,Western Africa,923768,217313,3122,1327067.35,56,0.161183023997019,25.7,149.7,2.178,0,0,4,5.3,3.7,4.6,3,9,1.6,17.4,9,0,10,5.7
MRT,435,Mauritania,Nouakchott,1960-11-28,9999-12-31,,1961-10-27,1961-11-09,,21.00789,-10.940835,AFRICA,Western Africa,1030700,165338,1268,53861.92,30,32.1291651799456,39.6,3.3,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLE,451,Sierra Leone,Freetown,1961-04-27,9999-12-31,,1961-09-27,1961-11-09,,8.460555,-11.779889,AFRICA,Western Africa,71740,215611,1677,141648.25,45,0,54.7,87.7,1.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KWT,690,Kuwait,Kuwait,1961-06-19,9999-12-31,,1963-05-14,1961-11-09,,29.31166,47.481766,ASIA,Western Asia,17820,11026,756,35317.58,11,0.00891197368843286,100,145.7,2.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYR,652,Syrian Arab Republic,Damascus,1961-09-29,9999-12-31,,1945-10-24,1945-10-27,,34.802074,38.996815,ASIA,Western Asia,185180,10503,212,,33,0.625662261682456,34.5,106.6,2.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TZA,510,United Republic of Tanzania,Dar es Salaam,1961-12-09,9999-12-31,Previously Tanganyika,1961-12-14,1962-02-08,,-6.457234,34.96399,AFRICA,Eastern Africa,945087,241888,3461,,172,10.0195703454026,21.1,42.5,1.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WSM,990,Samoa,Apia,1962-01-01,9999-12-31,,1976-12-15,1979-11-12,,-13.759029,-172.10463,OCEANIA,Polynesia,2944,127950,463,8286.54,11,0.545078935367202,100,73.7,1.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI,516,Burundi,Bujumbura,1962-07-01,9999-12-31,,1962-09-18,1963-11-19,,-3.373056,29.918886,AFRICA,Eastern Africa,27830,0,0,14250.9,17,0,0,312.3,2.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RWA,517,Rwanda,Kigali,1962-07-01,9999-12-31,Independence from Belgium granted same day as Burundi,1962-09-18,1963-11-19,,-1.940278,29.873888,AFRICA,Eastern Africa,26338,0,0,19602.95,9,0,0,386.7,2.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,615,Algeria,Algiers,1962-07-05,9999-12-31,,1962-10-08,1963-11-19,,28.033886,1.659626,AFRICA,Northern Africa,2381740,126353,1557,174448.39,33,0.286329749270636,68.8,14.2,1.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAM,51,Jamaica,Kingston,1962-08-06,9999-12-31,,1962-09-18,1963-03-13,,18.109581,-77.29751,LATIN AMERICA,Caribbean,10831,258137,895,82400.67,17,4.15597374342839,100,258.9,2.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TTO,52,Trinidad and Tobago,Port-of-Spain,1962-08-31,9999-12-31,,1962-09-18,1963-11-19,,10.691803,-61.222504,LATIN AMERICA,Caribbean,5128,74199,704,,19,2.80732790855531,100,204.2,2.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UGA,500,Uganda,Kampala,1962-10-09,9999-12-31,,1962-10-25,1963-11-19,,1.373333,32.290276,AFRICA,Eastern Africa,236040,0,0,477224.79,61,0,0,132.9,2.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEN,501,Kenya,Nairobi,1963-12-12,9999-12-31,,1963-12-16,1964-01-27,,-0.023559,37.906193,AFRICA,Eastern Africa,582650,116942,1586,133903.05,66,10.4722213734741,7.7,65.1,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAZ,511,Zanzibar,Zanzibar City,1963-12-19,1964-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,553,Malawi,Lilongwe,1964-07-06,9999-12-31,,1964-12-01,1965-11-22,,-13.254308,34.301525,AFRICA,Eastern Africa,118480,0,0,71964.93,101,0,0,117.6,2.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLT,338,Malta,Valletta,1964-09-21,9999-12-31,,1964-12-01,1964-10-05,2004-05-01,35.937496,14.375416,EUROPE,Southern Europe,316,54823,198,12252.64,14,0.397557083465745,100,1276.9,3.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZMB,551,Zambia,Lusaka,1964-10-24,9999-12-31,,1964-12-01,1965-11-22,,-13.133897,27.849333,AFRICA,Eastern Africa,752614,0,0,76455.62,20,0,0,15.5,1.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMB,420,Gambia,Banjul,1965-02-18,9999-12-31,,1965-09-21,1965-11-22,,13.443182,-15.310139,AFRICA,Western Africa,11300,23112,503,,21,0.0636105360431951,90.8,153.5,2.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDV,781,Maldives,Male,1965-07-26,9999-12-31,,1965-09-21,1971-11-08,,3.202778,73.22068,ASIA,Southern Asia,300,923322,2002,53128.74,15,0,81.1,1264,3.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COK,,Cook Islands,Avarua,1965-08-04,9999-12-31,,,1985-11-11,,-21.2,-159.766667,OCEANIA,Polynesia,240,1830000,120,1150,55,NA,100,86,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGP,830,Singapore,Singapore,1965-08-09,9999-12-31,,1965-09-21,2013-06-15,,1.301768,103.83453,ASIA,South-Eastern Asia,693,1067,268,,25,1.44338451170367,100,6649.4,3.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZWE,552,Zimbabwe,Harare,1965-11-11,9999-12-31,,1980-08-25,1981-11-07,,-19.015438,29.154858,AFRICA,Eastern Africa,390580,0,0,16112.03,3,0,0,31.7,1.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,110,Guyana,Georgetown,1966-05-26,9999-12-31,,1966-09-20,1966-08-22,,4.860416,-58.93018,LATIN AMERICA,South America,214970,137765,1154,25441.09,25,0,76.6,3.6,0.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWA,571,Botswana,Gaborone,1966-09-30,9999-12-31,,1966-10-17,1966-11-01,,-22.328474,24.684866,AFRICA,Southern Africa,600370,0,0,5676.5,2,0,0,3.1,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSO,570,Lesotho,Maseru,1966-10-04,9999-12-31,,1966-10-17,1966-11-07,,-29.609987,28.233608,AFRICA,Southern Africa,30355,0,0,46,1,0,0,70.1,1.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRB,53,Barbados,Bridgetown,1966-11-30,9999-12-31,,1966-12-09,1967-11-06,,13.193887,-59.543198,LATIN AMERICA,Caribbean,431,186898,97,11064.37,16,0.0651783219976143,100,654.3,2.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YPR,680,Yemen People’s Republic,,1967-11-30,1990-05-21,,,,,12.79774,45.032959,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,590,Mauritius,Port Louis,1968-03-12,9999-12-31,,1968-04-24,1968-03-12,,-20.348404,57.55215,AFRICA,Eastern Africa,2040,1284997,496,26182.68,12,0.279200463775553,100,624.5,2.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWZ,572,Swaziland,Mbabane,1968-09-06,9999-12-31,,1968-09-24,1971-11-08,,-26.522503,31.465866,AFRICA,Southern Africa,17363,0,0,7522.2,4,0,30.5,65,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,411,Equatorial Guinea,Malabo,1968-10-12,9999-12-31,,1968-11-12,1981-11-07,,1.650801,10.267895,AFRICA,Middle Africa,28051,303509,603,,27,2.57333692236554,72.3,22,1.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NRU,970,Nauru,Yaren,1968-12-31,9999-12-31,,1999-09-14,2001-11-02,,-0.522778,166.9315,OCEANIA,Micronesia,21,308480,30,,0,0,100,657.1,2.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TON,955,Tonga,Nuku’alofa,1970-06-04,9999-12-31,,1999-09-14,1981-11-07,,-21.178986,-175.19824,OCEANIA,Polynesia,748,659558,909,,10,9.37298475165709,97.5,159.1,2.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FJI,950,Fiji,Suva,1970-10-10,9999-12-31,,1970-10-13,1971-11-08,,-17.713371,178.06503,OCEANIA,Melanesia,18270,1282978,4638,30019.46,11,0.0604692423763231,99.9,51,1.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHR,692,Bahrain,Manama,1971-08-15,9999-12-31,,1971-09-21,1971-11-08,,25.930414,50.63777,ASIA,Western Asia,665,10225,255,,8,0.650520602543198,100,1080.2,3.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QAT,694,Qatar,Doha,1971-09-03,9999-12-31,,1971-09-21,1971-11-08,,25.354826,51.183884,ASIA,Western Asia,11437,31590,909,,11,0.251266179825813,100,81.2,1.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTN,760,Bhutan,Thimphu,1971-09-21,9999-12-31,,1971-09-21,1981-11-07,,27.514162,90.4336,ASIA,Southern Asia,47000,0,0,,3,0,0,14.5,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMN,698,Oman,Muscat,1971-10-07,9999-12-31,,1971-10-07,1971-11-08,,21.512583,55.923256,ASIA,Western Asia,212460,533180,2810,,24,1.29804704678725,88.5,15.6,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,696,United Arab Emirates,Abu Dhabi,1971-12-02,9999-12-31,,1971-12-09,1973-11-12,,23.424076,53.847816,ASIA,Western Asia,82880,58218,2871,98506.44,13,2.57197104913309,84.9,55.8,1.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD,771,Bangladesh,Dhaka,1971-12-16,9999-12-31,,1974-09-17,1973-11-12,,23.684994,90.35633,ASIA,Southern Asia,144000,86392,3306,2355614.08,19,0.810495357471549,54.8,1066.3,3.028,0,0,0,2.3,3.1,5.1,1,9,1.4,2.2,1,0,6,2.7
BHS,31,Bahamas,Nassau,1973-07-10,9999-12-31,,1973-09-18,1975-11-08,,25.03428,-77.39628,LATIN AMERICA,Caribbean,13940,654715,11238,10112.14,25,0.405409691763035,99.6,22.1,1.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRD,55,Grenada,Saint George’s,1974-02-07,9999-12-31,,1974-09-17,1975-11-08,,12.262776,-61.60417,LATIN AMERICA,Caribbean,344,27426,252,3808.18,15,0.022562666963014,100,262.5,2.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNB,404,Guinea-Bissau,Bissau,1974-09-10,9999-12-31,,1974-09-17,1973-11-26,,11.803749,-15.180413,AFRICA,Western Africa,36120,123725,3176,2474.97,30,45.8234416762713,94.6,41.6,1.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,541,Mozambique,Maputo,1975-06-25,9999-12-31,,1975-09-16,1977-11-14,,-18.665695,35.529564,AFRICA,Eastern Africa,801590,578986,6942,49120.98,52,3.25452924547392,50,26.6,1.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPV,402,Cape Verde,Praia,1975-07-05,9999-12-31,,1975-09-16,1975-11-08,,16.002083,-24.01319,AFRICA,Western Africa,4033,800561,1121,5683.53,20,0,99.9,105.9,2.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COM,581,Comoros,Moroni,1975-07-06,9999-12-31,,1975-11-12,1977-11-14,,-11.875001,43.87222,AFRICA,Eastern Africa,2170,163752,469,16324.86,6,0,100,337.2,2.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STP,403,Sao Tome and Principe,Sao Tome,1975-07-12,9999-12-31,,1975-09-16,1977-11-14,,0.336767,6.727799,AFRICA,Middle Africa,1001,131397,269,3606.67,11,0,99.9,206,2.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,910,Papua New Guinea,Port Moresby,1975-09-16,9999-12-31,,1975-10-10,1975-11-08,,-6.314993,143.95555,OCEANIA,Melanesia,462840,2402288,20197,,41,0.318006585860125,61.3,12.8,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,540,Angola,Luanda,1975-11-11,9999-12-31,,1976-12-01,1977-11-14,,-11.202692,17.873886,AFRICA,Middle Africa,1246700,518433,2252,287970.94,37,0.0666226154317625,29.4,10.1,1.045,1,0,4,NA,2.6,6,6,10,1.2,27.4,2,0,8,NA
SUR,115,Suriname,Paramaribo,1975-11-25,9999-12-31,,1975-12-04,1975-11-26,,3.919305,-56.027782,LATIN AMERICA,South America,163270,127772,620,7694.33,24,22.8665445758284,87,2.9,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,591,Seychelles,Victoria,1976-06-29,9999-12-31,,1976-09-21,1977-11-14,,-4.679574,55.491978,AFRICA,Eastern Africa,455,1336559,747,5332.84,14,0.50731553067875,99.9,180.7,2.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJI,522,Djibouti,Djibouti,1977-06-27,9999-12-31,,1977-09-20,1977-11-14,,11.825138,42.590275,AFRICA,Eastern Africa,23000,7459,443,862.89,15,0.239406931426161,100,22,1.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLB,940,Solomon Islands,Honiara,1978-07-07,9999-12-31,,1978-09-19,1985-11-11,,-9.64571,160.15619,OCEANIA,Melanesia,28450,1589477,9880,14997.87,15,0.124611047389408,100,20.4,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUV,947,Tuvalu,Fongafale,1978-10-01,9999-12-31,,2000-09-05,2003-11-29,,-7.109535,177.64932,OCEANIA,Polynesia,26,749790,24,,9,0.188840883774993,100,469.2,2.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMA,54,Dominica,Roseau,1978-11-03,9999-12-31,,1978-12-18,1979-11-12,,15.414999,-61.370975,LATIN AMERICA,Caribbean,754,28985,152,1817.45,15,0.125202753420425,100,96.2,1.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,56,St. Lucia,Castries,1979-02-22,9999-12-31,,1979-09-18,1979-11-26,,13.909444,-60.978893,LATIN AMERICA,Caribbean,616,15617,166,6846.41,16,0.0574488375243558,100,280.7,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIR,946,Kiribati,Tarawa,1979-07-12,9999-12-31,,1999-09-14,1999-11-15,,-3.370417,-168.73404,OCEANIA,Micronesia,811,3441810,1961,7090.26,9,22.6204664046792,99,136.1,2.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCT,57,St. Vincent and the Grenadines,Saint-Pierre,1979-10-27,9999-12-31,,1980-09-16,1981-11-07,,13.012297,-61.22773,LATIN AMERICA,Caribbean,242,36302,264,,16,0.605506321500763,100,489.3,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUT,935,Vanuatu,Port-Vila,1980-07-30,9999-12-31,,1981-09-15,1983-11-07,,-15.376706,166.95915,OCEANIA,Melanesia,12200,663251,3132,6907.47,14,0.0515238153319421,100,17.7,1.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLZ,80,Belize,Belmopan,1981-09-21,9999-12-31,,1981-09-25,1983-11-07,,17.189877,-88.49765,LATIN AMERICA,Central America,22966,35351,1996,3690.92,25,11.855337230595,100,13.1,1.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,58,Antigua and Barbuda,Saint John’s,1981-11-01,9999-12-31,,1981-11-11,1983-11-07,,29.540352,-95.09471,LATIN AMERICA,Caribbean,443,110089,289,,14,0.703691619604426,100,157.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,60,St. Kitts and Nevis,Basseterre,1983-09-19,9999-12-31,,1983-09-23,1983-11-07,,17.357822,-62.782997,LATIN AMERICA,Caribbean,261,9974,135,,15,0.527303519279156,100,151.7,2.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRN,835,Brunei Darussalam,Bandar Seri Begawan,1984-01-01,9999-12-31,,1984-09-21,2013-06-15,,4.926779,114.922485,ASIA,South-Eastern Asia,5770,10090,269,,8,1.44133219749414,99.9,66.1,1.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MHL,983,Marshall Islands,Majuro,1986-10-21,9999-12-31,,1991-09-17,1999-11-12,,7.131474,171.18448,OCEANIA,Micronesia,181,1990530,2106,,9,0.614202093899336,53.3,349.2,2.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,987,Federated States of Micronesia,Palikir,1986-11-03,9999-12-31,,1991-09-17,2003-11-29,,7.425554,150.55081,OCEANIA,Micronesia,702,2996419,1295,,14,0.0578902956993811,97.5,153.4,2.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSE,,State of Palestine,Jerusalem,1988-11-15,9999-12-31,,2012-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,565,Namibia,Windhoek,1990-03-21,9999-12-31,,1990-04-23,1977-11-14,,-22.95764,18.49041,AFRICA,Southern Africa,825418,564748,1754,30705.24,25,8.24612181522995,4.7,2.5,0.544,0,0,3,7.2,2.9,6.3,7,10,5.8,38,1,4,6,4.8
YEM,678,Yemen,Sanaa,1990-05-22,9999-12-31,,1947-09-30,1990-05-22,,15.552727,48.516388,ASIA,Western Asia,527970,552669,3149,102240.08,21,1.76722735507023,63.5,43.6,1.649,0,0,3,3.7,2.8,6,6,10,0.9,11.6,0,0,7,5
GEO,372,Georgia,Tbilisi,1991-04-09,9999-12-31,,1992-07-31,1995-10-20,,42.163403,43.533325,ASIA,Western Asia,69700,21946,376,36475.62,9,0.449665831392053,38.8,66.4,1.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRV,344,Croatia,Zagreb,1991-06-25,9999-12-31,,1992-05-22,1993-11-08,2013-07-01,44.236804,15.754395,EUROPE,Southern Europe,56542,59032,5664,67788.4,56,3.35876874780964,37.9,79.4,1.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVN,349,Slovenia,Ljubljana,1991-06-25,9999-12-31,,1992-05-22,1993-11-08,2004-05-01,46.15124,14.995463,EUROPE,Southern Europe,20273,220,41,18848.48,26,0.677765817760895,60.6,99,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EST,366,Estonia,Tallinn,1991-08-20,9999-12-31,,1991-09-17,1991-11-11,2004-05-01,58.595272,25.013607,EUROPE,Northern Europe,45226,36992,2956,22016.69,4,26.4682716264724,85.9,28.9,1.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVA,367,Latvia,Riga,1991-08-21,9999-12-31,,1991-09-17,1991-11-11,2004-05-01,56.879635,24.60319,EUROPE,Northern Europe,64589,28452,566,28572.48,5,6.66925659643855,75.2,34.8,1.554,0,1,1,NA,3.6,7.1,3,10,2.4,20.2,2,7,8,NA
UKR,369,Ukraine,Kiev,1991-08-24,9999-12-31,,1945-10-24,2003-11-29,,48.379433,31.16558,EUROPE,Eastern Europe,603700,147318,4953,783009.29,21,4.85849971182726,20.9,76.2,1.888,1,4,0,6.2,3.7,6.5,2,10,2.2,26.5,1,4,6,5.5
BLR,370,Belarus,Minsk,1991-08-25,9999-12-31,,1945-10-24,2005-11-19,,53.70981,27.953388,EUROPE,Eastern Europe,207600,0,0,152164.86,2,0,0,46.7,1.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,359,Republic of Moldova,Chisinau,1991-08-27,9999-12-31,,1992-03-02,1995-10-20,,47.02833,28.827967,EUROPE,Eastern Europe,33843,0,0,,9,0,9.1,127.8,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTU,368,Lithuania,Vilnius,1991-09-06,9999-12-31,,1991-09-17,1991-11-11,2004-05-01,55.169437,23.881275,EUROPE,Northern Europe,65200,7031,258,126031.35,5,10.7495411156547,22.9,54.7,1.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MKD,343,The former Yugoslav Republic of Macedonia,Skopje,1991-09-08,9999-12-31,,1993-04-08,1993-11-08,,41.608635,21.745275,EUROPE,Southern Europe,25333,0,0,,14,0,14.3,81.4,1.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM,371,Armenia,Yerevan,1991-09-21,9999-12-31,,1992-03-02,1993-11-08,,40.0691,45.03819,ASIA,Western Asia,29800,0,0,6589.88,3,0,0,99.6,2.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE,373,Azerbaijan,Baku,1991-10-18,9999-12-31,,1992-03-02,1995-10-20,,40.143105,47.576927,ASIA,Western Asia,86600,0,871,14457.42,10,0,55.7,94.4,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TKM,701,Turkmenistan,Ashgabat,1991-12-26,9999-12-31,,1992-03-02,1995-10-20,,38.96972,59.55628,ASIA,Central Asia,488100,0,0,16365.14,11,0,8.1,10.6,1.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TJK,702,Tajikistan,Dushanbe,1991-12-26,9999-12-31,,1992-03-02,1995-10-20,,38.861034,71.27609,ASIA,Central Asia,143100,0,0,2169,5,0,0,50.4,1.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KGZ,703,Kyrgyzstan,Bishkek,1991-12-26,9999-12-31,,1992-03-02,1993-11-08,,41.20438,74.7661,ASIA,Central Asia,198500,0,0,12315.18,3,0,0,27,1.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UZB,704,Uzbekistan,Tashkent,1991-12-26,9999-12-31,,1992-03-02,2001-11-02,,41.37749,64.58526,ASIA,Central Asia,447400,0,1707,9359.65,7,0,2.6,63.2,1.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAZ,705,Kazakhstan,Astana,1991-12-26,9999-12-31,,1992-03-02,1997-11-07,,48.019573,66.92368,ASIA,Central Asia,2717300,0,4528,44110.36,14,0,3.6,5.6,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,346,Bosnia and Herzegovina,Sarajevo,1992-04-07,9999-12-31,,1992-05-22,1993-11-08,,43.915886,17.679075,EUROPE,Southern Europe,51129,50,23,,31,0.707014981566435,46.6,89.8,1.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVK,317,Slovakia,Bratislava,1993-01-01,9999-12-31,,1993-01-19,1993-11-08,2004-05-01,48.669025,19.699024,EUROPE,Eastern Europe,48845,0,0,43297.5,5,0,0,111.7,2.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERI,531,Eritrea,Asmara,1993-05-24,9999-12-31,,1993-05-28,1993-11-08,,15.179384,39.782333,AFRICA,Eastern Africa,121320,77728,3446,3925.14,18,0,73.5,41.4,1.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIU,,Niue,Alofi,1974-10-19,9999-12-31,,,1999-11-12,,-19.063333,-169.869722,OCEANIA,Polynesia,260,,,,,,,,,,,,,,,,,,,,,,
PLW,986,Palau,Koror,1994-10-01,9999-12-31,,1994-12-15,1999-11-12,,7.51498,134.58252,OCEANIA,Micronesia,458,603978,1519,,12,5.2740397471791,100,46.1,1.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
