Id,CoW,Label,Capital,Start,End,Notes,UN,FAO,EC.EU,Latitude,Longitude,Area,Region,Land.Area.Sqkm,EEZ,CoastLine,FishConsump2007,ThreatSpecies.2010,MPA2010,CoastalPop,Pop.Density,PopDensLog,MPA.EEZ,MPA.INV,EEZ.TRAWL,MSI.ECOL,BIRD.PROT,MAM.PROT,LV.GDP,MEAL.MAR,CODE.FAO,STAT.REP,SUB.GOOD,CATCH.FUEL,SUB.LV,MSI.SOC
WRT,271,Wuerttemburg,Stuttgart,1805-12-26,1871-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAD,267,Baden,Karlsruhe,1806-08-06,1871-01-18,,,,,,,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,
HSG,275,Hesse Grand Ducal,Darmstadt,1806-08-13,1871-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHT,,State of Haiti,Milot,1806-10-17,1820-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAX,269,Saxony,Dresden,1806-12-20,1871-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,290,Poland,Warsaw,1807-06-09,1815-06-09,,1945-10-24,1957-11-09,2004-05-01,51.919437,19.145136,EUROPE,Eastern Europe,312685,29797,1032,363610.11,6,4.10523250491291,13.5,123.1,2.094,1,1,6,5.2,3.7,7.6,1,9,2.5,16.2,5,4,6,5.2
MDG,580,Madagascar,Antananarivo,1810-07-06,1896-08-06,From death of Andrianampoinimerina to French proclamation of colony,1960-09-20,1961-11-09,,-18.766947,46.869106,AFRICA,Eastern Africa,587040,1225259,9935,136750.13,83,0.118586566600924,55.1,34.1,1.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY,150,Paraguay,Asuncion,1811-05-14,9999-12-31,,1945-10-24,1945-10-30,,-23.442503,-58.443832,LATIN AMERICA,South America,406750,0,0,24386.14,0,0,0,16.8,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,223,Liechtenstein,Vaduz,1813-10-19,1815-06-20,,1990-09-18,NA,,47.152836,9.546432,EUROPE,Western Europe,160,0,0,,0,0,0,215.6,2.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,232,Andorra,Andorra la Vella,1814-03-10,9999-12-31,,1993-07-28,2007-11-17,,42.546246,1.601554,EUROPE,Southern Europe,468,0,0,,1,0,0,154.7,2.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMA,335,Parma,Parma,1814-04-11,1859-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,221,Monaco,Monaco,1814-05-17,9999-12-31,,1993-05-28,2001-11-02,,43.73842,7.424616,EUROPE,Western Europe,2,288,4,,9,99.9999959582785,100,16400,4.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSE,273,Hesse Electoral,Kassel,1814-05-30,1866-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAP,327,Papal States,Rome,1814-05-30,1849-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD,332,Modena,Modena,1814-07-14,1859-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAN,240,Hanover,Hannover,1814-10-12,1866-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUS,337,Tuscany,Florence,1815-06-09,1859-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEC,280,Mecklenburg Schwerin,Schwerin,1815-06-14,1871-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,160,Argentina,Buenos Aires,1816-07-09,9999-12-31,,1945-10-24,1951-11-21,,-38.416096,-63.616673,LATIN AMERICA,South America,2766890,1159063,8397,252781.45,36,1.10372557788221,45.1,14.7,1.196,0,1,0,7.4,4,7.1,5,8,3.4,36.7,1,0,7,5.9
SIC,329,Two Sicilies,Naples,1816-12-12,1861-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,155,Chile,Santiago,1818-02-12,9999-12-31,,1945-10-24,1946-05-17,,-35.675148,-71.54297,LATIN AMERICA,South America,756950,3681989,78563,333889.22,19,3.68504677471,81.5,21.7,1.356,0,0,4,2.9,4.4,7,6,5,5.4,62.3,0,7,10,4.1
UPC,89,United Provinces of Central America,Guatemala,1821-09-15,1822-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,70,Mexico,Mexico,1821-09-28,9999-12-31,,1945-11-07,1945-10-16,,23.6345,-102.55279,LATIN AMERICA,Central America,1972550,3177593,23761,1160718.17,150,16.6683811136481,28.7,55.7,1.754,1,1,3,4.9,4.2,6.9,2,7,4.5,44.1,1,0,8,5.2
DOM,42,Dominican Republic,Santo Domingo,1821-11-30,1822-02-09,,1945-10-24,1945-10-16,,18.735693,-70.16265,LATIN AMERICA,Caribbean,48730,255898,1612,105707.13,17,30.3737527363071,100,195.1,2.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCL,99,Gran Colombia,Bogota,1821-12-17,1831-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,140,Brazil,Brasilia,1822-09-07,9999-12-31,,1945-10-24,1945-10-16,,-14.235004,-51.92528,LATIN AMERICA,South America,8511965,3660955,33379,1305763.15,80,16.4799420040554,48.6,22.5,1.371,1,1,3,2.5,1.7,7,1,9,3.1,45.8,0,0,0,4.8
UPC,89,United Provinces of Central America,Guatemala,1823-07-01,1839-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,670,Emirate of Nejd,Riyadh,1824-01-01,1891-01-24,,1945-10-24,1948-11-23,,23.885942,45.079163,ASIA,Western Asia,1960582,228633,7572,221644.94,22,3.43284721861953,30.3,14.4,1.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PER,135,Peru,Lima,1824-12-09,9999-12-31,,1945-10-31,1952-06-17,,-9.189967,-75.01515,LATIN AMERICA,South America,1285220,906454,3362,608944.12,19,2.84293107802319,57.2,22.7,1.375,0,0,4,4.3,4.1,6.3,7,8,4.3,36,8,10,9,4.9
BOL,145,Plurinational State of Bolivia,Sucre,1825-08-06,9999-12-31,,1945-11-14,1945-10-16,,-16.290154,-63.588654,LATIN AMERICA,South America,1098580,0,0,16237.52,0,0,0,8.4,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,350,Greece,Athens,1827-05-17,1941-04-23,,1945-10-25,1945-10-16,1981-01-01,39.074207,21.824312,EUROPE,Southern Europe,131940,505572,15147,234330.85,73,2.61449496689692,99.2,81.3,1.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,101,Bolivarian Republic of Venezuela,Caracas,1830-01-13,9999-12-31,,1945-11-15,1945-10-16,,6.42375,-66.58973,LATIN AMERICA,South America,912050,471507,6762,458760.27,34,15.3341622542775,73.1,29,1.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECU,130,Ecuador,Quito,1830-05-13,9999-12-31,,1945-12-21,1945-10-16,,-1.831239,-78.1834,LATIN AMERICA,South America,283560,1077231,4597,58673.18,49,75.3603177516488,60.5,49.1,1.7,0,1,5,4.5,4,6.4,6,8,3,34.6,2,0,8,4.9
URY,165,Uruguay,Montevideo,1830-07-18,9999-12-31,,1945-12-18,1945-11-30,,-32.522778,-55.765835,LATIN AMERICA,South America,176220,142166,1096,31205.87,35,0.331136452781342,78.5,19.7,1.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,211,Belgium,Brussels,1830-10-04,1940-05-28,,1945-12-27,1945-10-16,1952-07-23,50.503887,4.469936,EUROPE,Western Europe,30510,3447,76,257835.1,10,0.0432004072662654,83,341,2.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Bogota,1831-11-19,9999-12-31,,1945-11-05,1945-10-17,,4.570868,-74.29733,LATIN AMERICA,South America,1138910,808158,5875,245205.53,50,15.5304089788533,29.9,39.5,1.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALT,,Los Altos,Quetzaltenango,1838-02-02,1840-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,93,Nicaragua,Managua,1838-05-31,1896-09-15,,1945-10-24,1945-10-26,,12.865416,-85.20723,LATIN AMERICA,Central America,129494,123881,1915,26548.07,26,37.2223578981306,71.6,44.7,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,91,Honduras,Tegucigalpa,1838-11-05,1896-09-15,,1945-12-27,1945-10-16,,15.199999,-86.241905,LATIN AMERICA,Central America,112090,249542,1878,21773.7,22,1.89121881910578,65.5,68.2,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI,94,Costa Rica,San Jose,1838-11-05,9999-12-31,,1945-11-02,1948-04-07,,9.748917,-83.753426,LATIN AMERICA,Central America,51100,574725,2069,33263.91,46,12.2435318621148,100,82.1,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLV,92,El Salvador,San Salvador,1841-02-18,1896-09-15,,1945-10-24,1947-08-19,,13.794185,-88.89653,LATIN AMERICA,Central America,21040,90962,756,42112.65,12,3.10820960890568,98.8,335.8,2.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOM,42,Dominican Republic,Santo Domingo,1844-02-27,1861-03-18,,1945-10-24,1945-10-16,,18.735693,-70.16265,LATIN AMERICA,Caribbean,48730,255898,1612,105707.13,17,30.3737527363071,100,195.1,2.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,90,Guatemala,Guatemala,1847-03-21,9999-12-31,,1945-11-21,1945-10-16,,15.783471,-90.23076,LATIN AMERICA,Central America,108890,114170,445,29646.97,20,12.5100599571449,61.2,119.4,2.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBR,450,Liberia,Monrovia,1847-07-26,9999-12-31,,1945-11-02,1945-10-16,,6.428055,-9.429499,AFRICA,Western Africa,111370,249734,842,18245.14,52,0,57.9,29.9,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALT,,Los Altos,Quetzaltenango,1848-08-26,1849-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAP,327,Papal States,Rome,1849-07-02,1870-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRA,563,Transvaal,Pretoria,1852-01-17,1902-05-31,From Sand River Convention to Treaty of Vereeniging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,341,Montenegro,Podgorica,1852-03-13,1918-12-01,,2006-06-28,2007-11-17,,42.70868,19.37439,EUROPE,Southern Europe,14026,7745,294,,24,0.849827608173776,100,48.4,1.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OFS,564,Orange Free State,Bloemfontein,1854-03-28,1902-05-31,From Orange River Convention to Treaty of Vereeniging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,530,Ethiopia,Addis Ababa,1855-02-11,1936-05-05,From coronation of Emperor Theodore II to occupation by Italy,1945-11-13,1948-01-01,,9.145,40.489674,AFRICA,Eastern Africa,1127127,0,0,12542.81,14,0,1.4,69.4,1.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPN,740,Japan,Tokyo,1860-01-01,1945-08-14,,1956-12-18,1951-11-21,,36.202023,138.25293,ASIA,Eastern Asia,377835,4479388,29020,7743633.39,59,5.54996424289576,96.4,336.9,2.529,0,1,4,7.5,3.5,4.4,5,8,6.3,36.8,6,0,7,6.5
CHN,710,China,Beijing,1860-10-25,9999-12-31,,1945-10-24,1945-10-16,,35.86166,104.1954,ASIA,Eastern Asia,9596960,879666,30017,35364494.51,97,1.28254031577527,24,138.6,2.145,0,0,4,5.2,3.7,5.1,3,10,4.7,15.1,0,0,8,6.1
DOM,42,Dominican Republic,Santo Domingo,1865-03-03,1916-11-29,,1945-10-24,1945-10-16,,18.735693,-70.16265,LATIN AMERICA,Caribbean,48730,255898,1612,105707.13,17,30.3737527363071,100,195.1,2.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,223,Liechtenstein,Vaduz,1866-08-24,9999-12-31,,1990-09-18,NA,,47.152836,9.546432,EUROPE,Western Europe,160,0,0,,0,0,0,215.6,2.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUH,300,Austria-Hungary,Vienna,1867-03-30,1918-11-11,,,,,,,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,
LUX,212,Luxembourg,Luxembourg,1867-05-11,1914-08-02,,1945-10-24,1945-10-16,1952-07-23,49.815273,6.129583,EUROPE,Western Europe,2586,0,0,13197.22,1,0,0,187.9,2.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
